,FileStem,SampleID,SamplePos,SampleGroup,FilePath,FileCreationDate,FileCreation,FileModDate,FileMod,FileHash,DestDir
0,DW38C_pos1,DW38C,1,DW,/mnt/DATA/EKTS_CloudStation/CloudStation/Experimental data/Python_Scripts/DWpy/python_introduction/Raman/repos/raman_fitting/raman_fitting/datafiles/DW38C_pos1.txt,2020-10-24,2020-10-24 08:55:25.071392298,2018-08-10,2018-08-10 13:18:46.000000000,cc6e442c0d3b168588278c4dcdf75b29,/mnt/DATA/EKTS_CloudStation/CloudStation/Experimental data/Python_Scripts/DWpy/python_introduction/Raman/repos/raman_fitting/raman_fitting/results/DW
1,DW38C_pos2,DW38C,2,DW,/mnt/DATA/EKTS_CloudStation/CloudStation/Experimental data/Python_Scripts/DWpy/python_introduction/Raman/repos/raman_fitting/raman_fitting/datafiles/DW38C_pos2.txt,2020-10-24,2020-10-24 08:55:25.071719646,2018-08-10,2018-08-10 13:21:23.000000000,57eb01d13c6109de3b0f5dd60aa2fd01,/mnt/DATA/EKTS_CloudStation/CloudStation/Experimental data/Python_Scripts/DWpy/python_introduction/Raman/repos/raman_fitting/raman_fitting/results/DW
2,DW38C_pos3,DW38C,3,DW,/mnt/DATA/EKTS_CloudStation/CloudStation/Experimental data/Python_Scripts/DWpy/python_introduction/Raman/repos/raman_fitting/raman_fitting/datafiles/DW38C_pos3.txt,2020-10-24,2020-10-24 08:55:25.072024345,2018-08-10,2018-08-10 13:24:18.000000000,884302bda4e0a8689efba502640510ba,/mnt/DATA/EKTS_CloudStation/CloudStation/Experimental data/Python_Scripts/DWpy/python_introduction/Raman/repos/raman_fitting/raman_fitting/results/DW
3,DW38C_pos4,DW38C,4,DW,/mnt/DATA/EKTS_CloudStation/CloudStation/Experimental data/Python_Scripts/DWpy/python_introduction/Raman/repos/raman_fitting/raman_fitting/datafiles/DW38C_pos4.txt,2020-10-24,2020-10-24 08:55:25.072329998,2018-08-10,2018-08-10 13:26:32.000000000,c9e584d6118e8c4ceb9c32a2003c89d3,/mnt/DATA/EKTS_CloudStation/CloudStation/Experimental data/Python_Scripts/DWpy/python_introduction/Raman/repos/raman_fitting/raman_fitting/results/DW
